dbcxx;;;;;
u;c;i;f;c;i
ID;技能名;等级;伤害;图片;类型
0;冰火五重天;2;12.34;image\冰火五重天.png;3
1;冰火五重天;2;12.34;image\冰火五重天.png;3
2;冰火五重天;2;12.34;image\冰火五重天.png;3
3;冰火五重天;2;12.34;image\冰火五重天.png;3
4;冰火五重天;2;12.34;image\冰火五重天.png;3
5;冰火五重天;2;12.34;image\冰火五重天.png;3
6;冰火五重天;2;12.34;image\冰火五重天.png;3
7;冰火五重天;2;12.34;image\冰火五重天.png;3
8;冰火五重天;2;12.34;image\冰火五重天.png;3
9;冰火五重天;2;12.34;image\冰火五重天.png;3
10;冰火五重天;2;12.34;image\冰火五重天.png;3
11;冰火五重天;2;12.34;image\冰火五重天.png;3
12;冰火五重天;2;12.34;image\冰火五重天.png;3
13;冰火五重天;2;12.34;image\冰火五重天.png;3
14;冰火五重天;2;12.34;image\冰火五重天.png;3
15;冰火五重天;2;12.34;image\冰火五重天.png;3
16;冰火五重天;2;12.34;image\冰火五重天.png;3
17;冰火五重天;2;12.34;image\冰火五重天.png;3
18;冰火五重天;2;12.34;image\冰火五重天.png;3
19;冰火五重天;2;12.34;image\冰火五重天.png;3
20;冰火五重天;2;12.34;image\冰火五重天.png;3
21;冰火五重天;2;12.34;image\冰火五重天.png;3
22;冰火五重天;2;12.34;image\冰火五重天.png;3
23;冰火五重天;2;12.34;image\冰火五重天.png;3
